C. Kenni, Crawd
Cordeiro, Ringi
Cordelia, Maya
Cordelion, Bazdilot
Cordis, Roland Dill
Cordis, Raymond
Cordwell, Lettis
Corematta, Michele
Corey, Onnette
Corinth, Alan
Corleone, Don
Corleone, Michael
Cornaro, Theo
Corneas, Regulus
Cornelia, Leo
Cornelius, Balud
Cornelius Scipio, Publius
Cornelius Scipio, Publius
Cornelius Scipio, Gnaeus
Cornell, Namicar
Cornell, Rick
Corner, Alejandro
Corner, Alice
Cornish, Rex
Corns, Cleopatra
Cornwall, Bom
Cornwell, Misty
Cornwell, Archibald
Cornwell, Alistair
Cornwell, Angela
Corona, Flare
Coronado, Ximena
Corrina, Moku
Corsica, Uranos
Cortex, Neo
Cortich, Attenborough
Corvette, Auber
Corwell, Linalim
Corwen, Rayneshia El-Arte
Corwen, Serjiad
Corwen, Icelus El-Arde
Corwen, Feynail
Cosette, Sara
Costa, Kevin
Costa, Alicia
Costacurta, Valeria
Costando, Gino
Costea, Barnaby
Costello, Hermes
Costello, Gloria
Coster, Yale
Costrela, Miguel
Cotard, Marcel
Cotard, Ishak
Cottenberg, Chris
Cougar, Straight
Cougar, Leon
Cougar, George
Countess, Eliza
Couple, Onna
Coureaux, Abel
Courtot, Lundi
Couza, Shams
Coward, Cecil
Cox, Bethany
Cox, Robert
Coyne, Sam
Coyne, Dick
Craate, Chic
Cracy, Byro
Cradle, Rett
Craftman, Calm
Cragganmore, Cleo
Craig, Detective
Craig, Melvin
Cranach, Sterkenburg
Crane, Yuzuriha
Crane, Komachi
Cranel, Bell
Cranel, Grandfather
Crank, Bolt
Crankshaw, Professor
Cranstoun, Millaarc
Cratsvalley, Swallow
Craven, Roger
Craven, Elsa
Crawford, Brad
Crawford, Pegasus J.
Crawford, Linda
Crawford, Woolf
Crawford, Wendy
Crawley, Joe
Crawley, John
Crawley, Franky
Cray, Cobin
Craymov, Cynthia
Crème, Annabel
Crealon
Creed, Raul
Cregos, Farman
Crehador, Dominic
Creighton, Maria
Creighton, Father
Creighton, Harry
Crekessa, Segal
Crepel
Crepsley, Larten
Crescent, Ruby 
Crescent, Sect
Crescent, Lucrecia
Crespi, Martina
Crest, Firill
Cretia, Liselotte
Crew, Patty
Crewe, Sara
Crewe, Ralph
Crewel, Divus
Crezant, Noi
Crichton, Julia
Crimson, Ash
Crimson, Nicola
Crimson, Elsie
Crisis, Marione Judo
Crisis, Jenos
Crispino, Michele
Crispino, Sara
Cristela, Alicia
Cristiano Amodio, Loretta
Cristini, Gina
Croce, Jose
Croce, Jean
Croce, Enrica
Crocell, Kerori
Crocket, Chibodee
Croford, Dr. Rill
Croft, Abigail
Croft, Anna
Croitsef, Sasha
Cromwell, Raina
Cromwell, Sherry
Cromwell, Vanessa
Cromwell, Leon
Cromwell, Levius
Cromwell, Zack
Cromwell, Zacks
Cronkite, Isabelle
Cronkite, Isabelle
Cronwell, Raven
Croomy, Cécile
Croose, Tom
Cropp, Rynn
Crosby, Ernest
Crosby, Marvin
Crosner, Agate
Cross, Yuuki
Cross, Kaien
Cross, Margaret
Cross, Herman
Cross, Norman
Cross Philier, Yuuichi
Crossfield, Rook Banjou
Crossfode, Emile
Crossroad, Saji
Crossroad, Kinue
Crossroads, Visor
Crossunite, Tenzou
Crossworth, Monabis 
Crossworth, Sayuri
Crosszeria, Luka
Crosszeria, Luze
Crouse, Richard
Crow, Jamian
Crow, Johann
Crowback, Steel
Crowe, Velvet
Crowe, Laphicet
Crowley, Aleister
Crowley, Jody
Crowley, Dire
Crowley III, Aleister
Crown, Terry
Crown, Ares
Crown, Lance
Crown, Lizbet
Crown, Anna
Crown, Katie
Crowner, Beleth
Crozelg, Fabia
Crozzo, Welf
Crucial, Elsa
Cruda, Fin
Cruel, Isolte
Crumb, Salacious
Crusade, Leica
Crusch, Farasha Awar
Crusch, Safina Tani
Crusoe, Tom
Cruz, Marida
Cruz, Wein
Cruz, Claire
Cruz, Rosa
Cruz Farinós, Domitilla
Cryburn, Mickey
Cryde, Saiki
Crylet, Kureha
Cryostat, Plug
Crypton, Arthur
Crystal, Bell
Crystal, Crystal
Crystela, Fiasse
Cube, Yuri
Cudeta, Will
Cugnot, Minka
Cugnot, Suika
Cui, Fei
Culastor, Dexter
Culkin, Chuck
Culkin, Chuck
Culkin, Audrey
Cummings Jr., Arthur
Cunitz, Dietrich
Cunningham, Alex
Cunningham, Guy
Cunningham, Sharon
Cunningham, Hugh
Cuomo, Lowry
Cuore, Ernest
Curie, Marie
Curie-Skłodowska, Marie
Curlaine, Uoar
Curly, Dadan
Curti, Ratie
Curtis, Izumi
Curtis, Donald
Curtis, Sig
Curtis, Kate
Curtis, Regina
Curtis, Hidaka
Curtiss, Jade
Curtiss, Mayuri
Curtland, Anna
Cusack, Jim
Cuthbert, Matthew
Cuthbert, Marilla
Cuthburt, Linda
Cutlass, Shin
Cutter, Seth Ritchie
Cuttnal, Suegni
Cuvie, Chirico
Cyanbaker, Sarah
Cyclops, Gigant
Cygnaeus, Hilma
Cygnus, Hyouga
Cyrus, Mia

