G., Kenny
Guan, Yu
Guangyuan, Chen
Guar Adroone, Endo
Guardhelm, Leonid
Guardian, Carol
Guardian, Rachel
Guatiche, Pesche
Guavaran, Stoller
Gudelian, Jackie
Gueldoa, Marj
Guerilla, Urban
Guerrero, Marcos
Guesong, Chun
Guevaru, Jun
Gugu, Zenberu
Gui, Mei
Guibarthez, Jean-Jacques
Guifu, Santong
Guile, Julie
Guilford, Gilbert G.P
Guilford, Bradley
Guilford, Kenneth
Guilish, Paula
Guillem, Mia
Guinness, Todd
Guivarch, Abel
Guizbatt, Jerome
Guk, Taeyang
Guk, Youngsoo
Guliani, Mayor
Gullinbursti, Frodi 
Gullveig, Vanir
Gulskii, Argo
Gumis, Migus
Gumlet, Groovy
Gunbei, Tashiro
Gund, Eeva
Gundam, Captain
Gundam, Ryuubi
Gundam, Kan-u
Gundam, Chouhi
Gundam, Chou-un
Gundam, Sousou
Gundam, Sonken
Gundam Epyon, Nobunaga
Gundark, Kyaroro
Gundou, Misuzu
Gundou, Misaki
Gunhale, Dique
Gunhale, Arisa
Gunhale, Wootbit
Gunji, Iwashiro
Gunji, Souta
Gunji, Masaru
Gunji, Akira
Gunjou, Souun
Gunn, Ben
Gunnel, Haeda
Gunryu, Mutz
Gunsou
Gunta, Lion
Gunther, Welkin
Gunther, Isara
Guo, Jing
Guo, Jia
Guo, Shuang
Guoming, Chen
Gurdy, Anne
Gurefu, Naja
Guren, Raimu
Gurosawa, Akina
Gurrier, Josak
Gurtland, Lydia
Gurumin, Azee
Gurung, Tshering
Gururu, General
Gushiken, Akane
Gushiken, Shupe
Gushiken, Shiori
Gushooshin, Otouto
Gushooshin, Ani
Gusoku, Juunoshin
Guss, Gyunei
Gustave, Casare
Gustave, Luca
Guster, Antonio
Gusuke, Touko
Gusuku, Luna
Guten, Honey
Gutheil, Schaake
Guts, Iron
Guu, Yumei
Guy, Marcus
Guynemer, Mikumo
Guyot, Richard
Guys, Nakki
Guzman, Emma
Guzman, Luciano
Gwak, Venu
Gweiss, Lipumira
Gwon, Eun Taek
Gwon, Il-ha
Gwon, Seung-Ha
Gyabari, Techno
Gyet, Alduram
Gylen, Lance
Gylen, Nee
Gyobu, Inugami
Gyokai, Fumi
Gyoto, Osamu
Gyroll, Lyuuin
Gyune, Viola
Gyung-soo, Kim
Gyunther, Drache
Gyuurei, Shaba

